uri,type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,broader,relevantDataType,relevantCodeList,dct_type,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie
,,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:lzsp,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,,,,,,,,,
conceptscheme:lzsm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,,,,,,,,,
conceptscheme:lzs,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,
conceptscheme:lzss,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,,,,,,,,,
conceptscheme:lzsst,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting,, ,,,,,,,,,,,,,,,,,,
conceptscheme:norm_bandbreedte,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem normbandbreedte,Ranges,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzs-norm:1,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Zuurtegraad waswater < 6,,,Onder de minimum grenswaarde van 6,,,,lzs-type:s1,lzsp:zuurtegraadwaswater,,,,,,,< min. grenswaarde (onder de norm),,,,6.0,
lzs-norm:2,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,"Zuurtegraad waswater > 8,5",,,"Boven de maximum grenswaarde van 8,5",,,,lzs-type:s1,lzsp:zuurtegraadwaswater,,,,,,,> max. grenswaarde (boven de norm),,,8.5,,
lzs-norm:3,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Geleidbaarheid > maximum operationele waarde,,,Boven de maximale waarde op technische fiche,,,,lzs-type:s1,lzsp:geleidbaarheidvanhetwaswater,,,,,,,> max. grenswaarde (boven de norm),,,0.0,,som
lzs-norm:4,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Waswaterdebiet afwijking > 20% onder normale operationele waarde,,,"Onder de minimum grenswaarde, een afwijking > 20% t.o.v referentiewaarde technische fiche",,,,lzs-type:s1,lzsp:waswaterdebiet,,,,,,,< min. grenswaarde (onder de norm),,,,0.8,product
lzs-norm:5,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Spuiwaterproductie afwijking > 10% normale operationele waarde,,,"Onder de minimum grenswaarde, een afwijking > 10% t.o.v referentiewaarde technische fiche",,,,lzs-type:s1,lzsp:spuiwaterproductie,,,,,,,< min. grenswaarde (onder de norm),,,,0.9,product
lzs-norm:6,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Drukval afwijking > 40% onder normale operationele waarde,,,"Onder de minimum grenswaarde, een afwijking > 40% t.o.v referentiewaarde technische fiche",,,,lzs-type:s1,lzsp:drukvaloverhetsysteem,,,,,,,< min. grenswaarde (onder de norm),,,,0.6,product
lzs-norm:7,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Drukval afwijking > 40% normale operationele waarde,,,"Boven de maximum grenswaarde, een afwijking > 40% t.o.v referentiewaarde technische fiche",,,,lzs-type:s1,lzsp:drukvaloverhetsysteem,,,,,,,> max. grenswaarde (boven de norm),,,1.4,,product
lzs-norm:8,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Zuurtegraad waswater afwijking > 1 pH-eenheid boven normale operationele waarde,,,"Boven de maximum grenswaarde, een afwijking > (waarde technische fiche + 1 pH)",,,,lzs-type:s2,lzsp:zuurtegraadwaswater,,,,,,,boven maximum grenswaarde (boven de norm),,,1.0,,som
lzs-norm:9,skos:Concept,conceptscheme:norm_bandbreedte,conceptscheme:norm_bandbreedte,Bandbreedte drukval afwijking > 50 Pa boven normale operationele waarde,,,"Boven de maximum grenswaarde, een afwijking > (waarde technische fiche + 50 Pa)",,,,lzs-type:s3,lzsp:drukvaloverhetsysteem,,,,,,,boven maximum grenswaarde,,,50.0,,som
,,,,,,,,,,,,,,,,,,,,,,,,
lzsp:drukvaloverhetsysteem,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Drukval over het systeem,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2|lzs-type:s3,,quantitykind:VaporPressure|quantitykind:Fugacity,http://qudt.org/vocab/unit/PA,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0329,lzsm:lucht,,,,,,,
lzsp:geleidbaarheidvanhetwaswater,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Geleidbaarheid van het waswater,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2,,http://qudt.org/vocab/quantitykind/Conductivity,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0010,lzsm:waswater,procedure:WAC_I_A_011,,,,,,
lzsp:spuiwaterproductie,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Spuiwaterproductie,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2,,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,lzsm:spuiwater,,,,,,,
lzsp:biobedspuiwaterproductie,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Biobedspuiwaterproductie,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,lzsm:spuiwater,,,,,,,
lzsp:biobedspoelwaterproductie,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Biobedspoelwaterproductie,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,,,,,,,
lzsp:stalbezetting,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Stalbezetting,,,,,,conceptscheme:lzsst,lzs-type:s1|lzs-type:s2|lzs-type:s3,,,,,,lzsm:stal,,,,,,,
lzsp:systeemstatus,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,SysteemStatus,,,,,,conceptscheme:lzss,lzs-type:s1|lzs-type:s2|lzs-type:s3,,,,,,lzsm:hetelektronischmonitoringssysteem,,,,,,,
lzsp:waswaterdebiet,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Waswaterdebiet over het waspakket,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2,,quantitykind:VolumeFlowRate|quantitykind:VolumePerTime,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,,,,,,,
lzsp:waswaterdebietbevloeiing,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Waswaterdebiet van de bevloeiing van het vulmateriaal,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:VolumeFlowRate|quantitykind:VolumePerTime,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,,,,,,,
lzsp:waswaterdebietvoorbevochtiging,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Waswaterdebiet van de voorbevochtiging van de ingaande stallucht,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:VolumeFlowRate|quantitykind:VolumePerTime,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,,,,,,,
lzsp:zuurtegraadwaswater,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Zuurtegraad van het waswater,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2,,quantitykind:Acidity|quantitykind:Basicity,http://qudt.org/vocab/unit/PH,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0076,lzsm:waswater,procedure:WAC_I_A_011,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzs-type:luchtzuiveringssysteem,skos:Concept,conceptscheme:lzs,conceptscheme:lzs,Luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,
lzs-type:luchtwassysteem,skos:Concept,,conceptscheme:lzs,Luchtwassysteem ,,,,lzs-type:luchtzuiveringssysteem,,,,,,,,,,,,,,,,
lzs-type:s2,skos:Concept,,conceptscheme:lzs,Chemisch luchtwassysteem,,S2,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,
lzs-type:s1,skos:Concept,,conceptscheme:lzs,Biologisch luchtwassysteem,,S1,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,
lzs-type:s3,skos:Concept,,conceptscheme:lzs,Biobed,,S3,,lzs-type:luchtzuiveringssysteem,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzss:operationeel,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,Operationeel,,,,,,,,,,,,,,,,,,,,
lzss:storing,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,Storing,,,,,,,,,,,,,,,,,,,,
lzss:onderhoud,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,In onderhoud,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzsst:leeg,skos:Concept,conceptscheme:lzsst,conceptscheme:lzsst,Lege stal,,,,,,,,,,,,,,,,,,,,
lzsst:in_gebruik,skos:Concept,conceptscheme:lzsst,conceptscheme:lzsst,"Stal in gebruik, dieren aanwezig.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzsm:lucht,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Lucht,,,,,,,,,,,,,,,,,,,,
lzsm:waswater,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Waswater,,,,,,,,,,,,,,,,,,,,
lzsm:spuiwater,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Spuiwater,,,,,,,,,,,,,,,,,,,,
lzsm:stal,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Stal,,,,,,,,,,,,,,,,,,,,
lzsm:hetelektronischmonitoringssysteem,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Het elektronisch monitoringssysteem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
quantitykind:Fugacity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PA,,,,,,,,,
quantitykind:VaporPressure,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PA,,,,,,,,,
quantitykind:Conductivity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,,,,,,,,
quantitykind:Volume,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/M3,,,,,,,,,
quantitykind:VolumeFlowRate,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,,
quantitykind:Acidity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PH,,,,,,,,,
quantitykind:VolumePerTime,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,,
quantitykind:Basicity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PH,,,,,,,,,
quantitykind:Count,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/NUM,,,,,,,,,
